CONFIG	1024x32x4b1_pbc	2048x32x8b1_pbc	4096x32x16b1_pbc	8192x64x8b4_pbc	16384x32x16b4_pbc	16384x64x16b4_pbc	4096x61x8b2_pbc
							
Area_power_ring_um2	2899.14768	4431.93696	8591.64192	29285.07696	29509.48368	56662.69680	15204.33504
Clock_cycle	0.74625	0.78832	0.80756	0.79960	0.80670	1.07724	0.79347
Clock_high_read_data_valid_A	0.4056	0.4280	0.4349	0.5034	0.4981	0.5596	0.5016
AddressA_setup	0.14397	0.14306	0.14350	0.17816	0.17778	0.17767	0.14466
AddressA_hold	0.10046	0.09858	0.10352	0.12818	0.13139	0.13161	0.12801
Data_setup	0.08005	0.08551	0.10972	0.07920	0.08554	0.14912	0.08061
Data_hold	0.09685	0.09294	0.10428	0.13444	0.13268	0.13917	0.13365
P_read_pJ	5.5466	7.1380	11.2123	20.8471	17.9888	38.3210	14.6383
P_write_pJ	5.0031	6.7090	9.8201	16.1117	13.7538	27.0514	13.7458
P_noop_pJ	0.4236	0.3929	0.4043	0.7749	0.5491	0.7857	0.6768
Leakage_static_uW	0.5479437	0.8026564	1.6911748	5.7659050	5.7752097	10.5898459	2.9609312
